,flight,thank,label
407,0.0,0.0,negative
408,0.0,0.0,worse
409,0.0,0.0,negative
410,0.0,0.0,average
411,0.0,0.0,negative
412,0.0,1.0,good
413,0.0,0.0,average
414,0.0,0.0,average
415,0.0,0.0,good
416,0.0,1.0,good
417,0.0,0.0,worse
418,0.0,0.0,negative
419,0.0,0.0,negative
420,0.0,0.0,average
421,0.0,0.0,good
422,0.0,1.0,good
423,0.0,0.0,average
424,0.0,0.0,average
425,0.0,0.0,negative
426,1.0,0.0,average
427,0.0,0.0,good
428,0.0,0.0,average
429,0.0,0.0,good
430,0.0,0.0,good
431,1.0,0.0,average
432,1.0,0.0,average
433,1.0,0.0,negative
434,0.0,0.0,negative
435,0.0,0.0,average
436,0.0,0.0,good
437,0.0,0.0,good
438,0.0,0.0,average
439,0.0,0.0,good
440,0.0,0.0,good
441,0.0,0.0,average
442,0.0,0.0,average
443,0.0,0.0,good
444,0.0,0.0,worse
445,1.0,0.0,average
446,0.0,0.0,negative
447,0.0,0.0,negative
448,0.0,0.0,negative
449,0.5880333434473399,0.8088366874679601,negative
450,1.0,0.0,negative
451,1.0,0.0,good
452,0.0,0.0,average
453,0.0,0.0,good
454,1.0,0.0,good
455,0.0,0.0,good
456,0.0,0.0,average
457,0.0,0.0,worse
458,0.0,0.0,average
459,1.0,0.0,good
460,0.0,0.0,average
461,0.0,0.0,average
462,0.0,0.0,average
463,1.0,0.0,good
464,0.0,0.0,good
465,0.0,0.0,good
466,0.0,0.0,good
467,0.0,1.0,good
468,0.0,0.0,average
469,0.0,0.0,negative
470,0.0,1.0,good
471,0.0,0.0,average
472,0.0,0.0,average
473,1.0,0.0,average
474,1.0,0.0,average
475,0.0,0.0,good
476,0.0,0.0,good
477,0.0,0.0,good
478,0.0,0.0,average
479,1.0,0.0,negative
480,0.0,0.0,good
481,1.0,0.0,negative
482,0.0,0.0,average
483,0.0,0.0,average
484,1.0,0.0,worse
485,0.0,0.0,negative
486,0.0,0.0,negative
487,0.0,0.0,negative
488,1.0,0.0,good
489,1.0,0.0,average
490,0.0,0.0,good
491,0.0,1.0,good
492,0.0,0.0,average
493,0.0,0.0,good
494,0.0,0.0,negative
495,1.0,0.0,negative
496,0.0,0.0,negative
497,0.0,0.0,average
498,0.0,0.0,good
499,1.0,0.0,average
500,0.0,0.0,average
501,0.0,0.0,average
502,0.0,0.0,good
503,0.0,0.0,average
504,0.0,1.0,good
505,0.0,1.0,good
506,1.0,0.0,negative
507,0.0,0.0,worse
508,0.0,1.0,good
509,0.0,0.0,negative
510,1.0,0.0,average
511,1.0,0.0,negative
512,0.0,0.0,average
513,1.0,0.0,negative
514,0.0,0.0,average
515,0.0,1.0,good
516,0.0,1.0,good
517,0.0,0.0,average
518,0.0,0.0,negative
519,1.0,0.0,negative
520,0.0,0.0,negative
521,0.0,0.0,good
522,0.0,0.0,average
523,0.0,0.0,negative
524,0.0,0.0,average
525,0.0,0.0,average
526,0.0,0.0,negative
527,1.0,0.0,good
528,0.0,0.0,average
529,0.0,0.0,negative
530,0.0,0.0,worse
531,0.0,0.0,average
532,0.0,0.0,average
533,0.0,0.0,negative
534,1.0,0.0,negative
535,0.0,0.0,average
536,1.0,0.0,negative
537,0.0,0.0,negative
538,0.0,0.0,average
539,1.0,0.0,negative
540,1.0,0.0,negative
541,0.0,0.0,negative
542,1.0,0.0,negative
543,0.0,0.0,worse
544,0.0,0.0,negative
545,0.0,1.0,negative
546,0.0,0.0,average
547,0.0,0.0,average
548,0.0,0.0,average
549,0.0,0.0,average
550,0.0,0.0,negative
551,0.0,0.0,average
552,0.0,1.0,good
553,0.0,0.0,negative
554,1.0,0.0,negative
555,0.0,0.0,negative
556,0.0,1.0,average
557,0.0,0.0,negative
558,0.0,0.0,good
559,0.0,0.0,negative
560,0.0,0.0,negative
561,0.0,0.0,negative
562,0.0,1.0,good
563,0.0,0.0,negative
564,1.0,0.0,worse
565,1.0,0.0,negative
566,0.0,0.0,negative
567,0.0,0.0,worse
568,0.0,0.0,negative
569,0.0,0.0,worse
570,0.0,0.0,worse
571,0.0,0.0,average
572,0.0,0.0,negative
573,1.0,0.0,worse
574,0.0,0.0,worse
575,1.0,0.0,worse
576,0.9090080508297136,0.41677855454277507,average
577,0.0,0.0,average
578,0.0,0.0,good
579,0.0,0.0,negative
580,0.0,0.0,negative
581,0.0,0.0,negative
582,1.0,0.0,negative
583,0.0,0.0,worse
584,0.0,0.0,negative
585,0.0,0.0,negative
586,0.0,0.0,negative
587,0.0,0.0,negative
588,0.0,0.0,negative
589,0.0,0.0,good
590,0.0,0.0,average
591,0.0,0.0,negative
592,0.0,0.0,worse
593,1.0,0.0,negative
594,0.0,0.0,negative
595,0.0,0.0,worse
596,0.0,0.0,negative
597,0.0,0.0,negative
598,0.0,0.0,good
599,0.0,0.0,average
600,0.0,0.0,good
601,0.0,1.0,average
602,0.0,0.0,average
603,1.0,0.0,negative
604,1.0,0.0,negative
605,0.0,0.0,negative
606,0.0,0.0,worse
607,0.0,0.0,good
608,1.0,0.0,worse
609,0.0,0.0,worse
610,0.0,0.0,negative
611,0.0,0.0,good
612,0.0,1.0,average
613,0.0,0.0,average
614,0.0,0.0,negative
615,0.0,1.0,average
616,0.0,0.0,negative
617,0.0,0.0,average
618,0.0,0.0,negative
619,0.0,0.0,negative
620,0.0,0.0,negative
621,0.0,0.0,worse
622,0.0,0.0,worse
623,1.0,0.0,negative
624,0.0,0.0,negative
625,0.0,0.0,average
626,0.0,0.0,worse
627,0.0,0.0,worse
628,0.0,0.0,average
629,0.0,0.0,average
630,1.0,0.0,worse
631,0.0,0.0,average
632,0.0,0.0,negative
633,0.0,0.0,negative
634,0.0,0.0,worse
635,0.0,0.0,negative
636,0.0,0.0,negative
637,0.0,0.0,negative
638,0.0,0.0,negative
639,1.0,0.0,negative
640,0.0,0.0,worse
641,0.0,0.0,average
642,0.0,0.0,worse
643,0.0,0.0,worse
644,0.0,0.0,negative
645,0.0,0.0,average
646,0.0,0.0,negative
647,0.0,0.0,average
648,0.0,0.0,worse
649,0.0,0.0,negative
650,0.0,0.0,worse
651,0.0,0.0,worse
652,0.0,0.0,average
653,0.0,0.0,negative
654,1.0,0.0,negative
655,0.0,0.0,worse
656,0.0,0.0,negative
657,1.0,0.0,average
658,0.0,0.0,average
659,0.0,0.0,negative
660,0.0,0.0,negative
661,0.0,0.0,worse
662,0.0,0.0,average
663,0.0,0.0,good
664,0.5880333434473399,0.8088366874679601,negative
665,1.0,0.0,worse
666,0.0,0.0,average
667,1.0,0.0,negative
668,0.0,0.0,negative
669,0.0,0.0,average
670,0.0,1.0,good
671,0.0,0.0,negative
672,0.0,0.0,worse
673,0.0,0.0,worse
674,0.0,0.0,negative
675,0.0,0.0,worse
676,0.0,0.0,negative
677,0.0,0.0,negative
678,0.0,0.0,negative
679,0.0,0.0,average
680,1.0,0.0,good
681,1.0,0.0,average
682,1.0,0.0,worse
683,1.0,0.0,worse
684,0.0,0.0,worse
685,1.0,0.0,worse
686,0.0,0.0,worse
687,0.0,0.0,good
688,0.0,0.0,negative
689,0.0,0.0,worse
690,1.0,0.0,good
691,0.0,0.0,worse
692,1.0,0.0,average
693,0.0,0.0,worse
694,1.0,0.0,worse
695,1.0,0.0,good
696,0.0,0.0,negative
697,0.0,0.0,negative
698,1.0,0.0,worse
699,1.0,0.0,good
700,0.0,0.0,worse
701,0.0,0.0,worse
702,1.0,0.0,average
703,0.0,0.0,negative
704,0.0,0.0,negative
705,0.0,1.0,average
706,0.0,0.0,average
707,0.0,0.0,worse
708,0.5880333434473399,0.8088366874679601,worse
709,0.0,1.0,good
710,0.0,0.0,negative
711,1.0,0.0,negative
712,1.0,0.0,worse
713,0.0,0.0,worse
714,0.0,0.0,negative
715,0.0,0.0,worse
716,0.0,1.0,good
717,1.0,0.0,negative
718,0.0,0.0,negative
719,0.0,0.0,average
720,0.0,0.0,negative
721,0.0,0.0,good
722,0.0,0.0,good
723,0.0,0.0,good
724,0.0,0.0,negative
725,1.0,0.0,average
726,0.0,0.0,negative
727,0.0,1.0,worse
728,0.0,0.0,worse
729,1.0,0.0,negative
730,0.0,1.0,worse
731,1.0,0.0,negative
732,1.0,0.0,average
733,0.0,0.0,negative
734,0.0,0.0,negative
735,0.0,0.0,good
736,0.0,0.0,negative
737,0.0,0.0,negative
738,1.0,0.0,negative
739,0.0,0.0,average
740,0.0,0.0,negative
741,0.0,0.0,negative
742,0.0,0.0,average
743,0.0,1.0,average
744,0.0,0.0,negative
745,0.0,1.0,good
746,0.0,0.0,worse
747,0.0,0.0,negative
748,0.0,1.0,average
749,0.0,0.0,negative
750,0.0,0.0,negative
751,0.0,0.0,negative
752,0.0,1.0,negative
753,0.0,0.0,average
754,0.0,0.0,negative
755,1.0,0.0,worse
756,0.0,0.0,worse
757,0.0,1.0,worse
758,1.0,0.0,good
759,0.0,0.0,negative
760,0.0,0.0,average
761,0.0,0.0,negative
762,1.0,0.0,worse
763,1.0,0.0,negative
764,0.0,0.0,worse
765,1.0,0.0,worse
766,0.0,0.0,average
767,0.0,0.0,negative
768,1.0,0.0,average
769,1.0,0.0,negative
770,0.0,0.0,average
771,0.0,0.0,worse
772,1.0,0.0,worse
773,1.0,0.0,good
774,0.0,0.0,negative
